rank,domain
1,google.de
2,amazon.de
3,spiegel.de
4,welt.de
5,t-online.de
6,bild.de
7,ebay.de
8,focus.de
9,otto.de
10,kleinanzeigen.de
11,ndr.de
12,n-tv.de
13,merkur.de
14,www.amazon.de
15,joyclub.de
16,ladies.de
17,www.spiegel.de
18,www.n-tv.de
19,www.t-online.de
20,www.ebay.de
21,www.kleinanzeigen.de
22,www.otto.de
23,m.bild.de
24,www.focus.de
25,www.ndr.de
26,www.welt.de
27,www.merkur.de
28,www.joyclub.de
29,m.ladies.de
30,bund.de
31,web.de
32,admatic.de
33,heise.de
34,ccc.de
35,strato.de
36,zeit.de
37,mobile.de
38,ionos.de
39,tagesschau.de
40,mpg.de
41,sueddeutsche.de
42,tagesspiegel.de
43,bahn.de
44,br.de
45,ardmediathek.de
46,stern.de
47,zdf.de
48,goethe.de
49,e-recht24.de
50,chip.de
51,idealo.de
52,xplosion.de
53,swr.de
54,adscale.de
55,arbeitsagentur.de
56,freenet.de
57,gesetze-im-internet.de
58,siemens.de
59,rp-online.de
60,fraunhofer.de
61,blogspot.de
62,fr.de
63,kicker.de
64,immobilienscout24.de
65,wdr.de
66,wetteronline.de
67,dhl.de
68,gmx.de
69,thomann.de
70,rwth-aachen.de
71,tripadvisor.de
72,rtl.de
73,sonnenbatterie.de
74,eventim.de
75,tum.de
76,autoscout24.de
77,lidl.de
78,giga.de
79,abendblatt.de
80,chefkoch.de
81,thalia.de
82,immowelt.de
83,zalando.de
84,derwesten.de
85,bayern.de
86,sport1.de
87,vodafone.de
88,obi.de
89,berlin.de
90,taz.de
91,hna.de
92,fu-berlin.de
93,adac.de
94,sportschau.de
95,tvspielfilm.de
96,gala.de
97,uni-heidelberg.de
98,gamestar.de
99,schwaebische.de
100,mdr.de
101,hornbach.de
102,nordkurier.de
103,fussball.de
104,sport.de
105,telekom.de
106,filmstarts.de
107,bonprix.de
108,elster.de
109,markt.de
110,fernsehserien.de
111,pinterest.de
112,uni-muenchen.de
113,decathlon.de
114,pornpics.de
115,deine-tierwelt.de
116,ruhr24.de
117,www.tagesschau.de
118,www.bahn.de
119,bundestag.de
120,wort-suchen.de
121,www.bild.de
122,www.zeit.de
123,gegen-hartz.de
124,www.stern.de
125,uni-hamburg.de
126,www.zalando.de
127,www.idealo.de
128,www.dhl.de
129,finya.de
130,www.kicker.de
131,www.tagesspiegel.de
132,www.autoscout24.de
